index,term,installment,emp_title,purpose,title,dti,collections_12_mths_ex_med,application_type,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,avg_cur_bal,chargeoff_within_12_mths,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_il_high_credit_limit,disbursement_method,is_risky
10, 60 months,508.3,Executive Director,debt_consolidation,Debt consolidation,22.98,0.0,Individual,0.0,376218.0,1.0,5.0,0.0,3.0,17.0,171328.0,3.0,6.0,8121.0,54.0,1.0,5.0,0.0,23514.0,0.0,248.0,1.0,1.0,2.0,3.0,8.0,4.0,5.0,15.0,10.0,15.0,8.0,16.0,0.0,0.0,0.0,3.0,97.0,0.0,0.0,436841.0,191682.0,Cash,0
11, 60 months,363.07,Senior Structural Designer,debt_consolidation,Debt consolidation,26.4,0.0,Individual,0.0,265836.0,0.0,2.0,0.0,2.0,13.0,33702.0,1.0,1.0,8739.0,64.0,0.0,0.0,1.0,24167.0,0.0,334.0,9.0,9.0,0.0,4.0,6.0,5.0,12.0,6.0,10.0,21.0,6.0,13.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,309638.0,45838.0,Cash,0
12, 36 months,47.1,Logistics Manager,other,,34.95,0.0,Individual,0.0,325695.0,1.0,3.0,1.0,2.0,2.0,37430.0,0.0,2.0,7386.0,67.0,0.0,2.0,0.0,19159.0,0.0,234.0,18.0,2.0,0.0,7.0,11.0,8.0,11.0,3.0,12.0,17.0,11.0,17.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,372109.0,55501.0,Cash,0
13, 60 months,471.7,Software Manager,debt_consolidation,Debt consolidation,9.39,0.0,Individual,60.0,36247.0,2.0,2.0,1.0,3.0,2.0,22195.0,2.0,4.0,1271.0,55.0,2.0,1.0,2.0,2014.0,0.0,112.0,1.0,1.0,0.0,6.0,13.0,7.0,8.0,6.0,16.0,19.0,13.0,18.0,0.0,0.0,0.0,3.0,100.0,1.0,0.0,65819.0,31319.0,Cash,0
14, 36 months,858.05,Senior Manager,debt_consolidation,Debt consolidation,21.6,0.0,Individual,0.0,221110.0,0.0,2.0,0.0,0.0,27.0,23413.0,0.0,1.0,8752.0,61.0,0.0,1.0,0.0,13819.0,0.0,379.0,19.0,19.0,0.0,7.0,9.0,9.0,11.0,4.0,13.0,18.0,9.0,16.0,0.0,0.0,0.0,0.0,91.7,0.0,0.0,304003.0,42503.0,Cash,1
15, 36 months,298.58,tech,credit_card,Credit card refinancing,22.44,0.0,Individual,0.0,55387.0,0.0,3.0,0.0,0.0,47.0,47665.0,2.0,2.0,4744.0,50.0,0.0,0.0,2.0,7912.0,0.0,91.0,9.0,9.0,0.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,7.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,88635.0,75635.0,Cash,1
16, 36 months,777.55,Sales Manager,debt_consolidation,Debt consolidation,26.02,0.0,Individual,0.0,305781.0,0.0,3.0,0.0,1.0,13.0,47194.0,0.0,1.0,8937.0,57.0,1.0,0.0,1.0,33976.0,0.0,168.0,13.0,13.0,0.0,3.0,3.0,5.0,6.0,7.0,5.0,9.0,3.0,9.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,373572.0,82117.0,Cash,1
17, 60 months,400.31,GS-11,debt_consolidation,Debt consolidation,8.68,0.0,Individual,0.0,205067.0,3.0,1.0,2.0,2.0,3.0,25416.0,2.0,3.0,7672.0,38.0,0.0,1.0,1.0,17089.0,0.0,265.0,1.0,1.0,0.0,5.0,6.0,12.0,12.0,6.0,15.0,17.0,6.0,16.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,309710.0,26210.0,Cash,0
18, 60 months,471.77,Teacher,credit_card,Credit card refinancing,18.28,0.0,Individual,0.0,63886.0,0.0,7.0,0.0,0.0,42.0,38946.0,2.0,3.0,9516.0,68.0,0.0,3.0,1.0,3549.0,0.0,171.0,8.0,8.0,0.0,6.0,8.0,7.0,8.0,14.0,14.0,19.0,8.0,21.0,0.0,0.0,0.0,2.0,87.9,0.0,0.0,93962.0,46662.0,Cash,1
19, 36 months,320.99,Program Coordinator ,debt_consolidation,Debt consolidation,25.49,0.0,Individual,0.0,18926.0,6.0,1.0,0.0,1.0,19.0,9358.0,12.0,16.0,653.0,46.0,2.0,0.0,5.0,1051.0,0.0,95.0,0.0,0.0,0.0,2.0,17.0,2.0,2.0,2.0,17.0,17.0,13.0,18.0,,0.0,0.0,12.0,100.0,1.0,0.0,38998.0,18248.0,Cash,0
20, 60 months,678.49,Corporate Insurance,debt_consolidation,Debt consolidation,21.77,0.0,Individual,0.0,220251.0,2.0,1.0,1.0,2.0,9.0,10815.0,3.0,5.0,12971.0,51.0,0.0,4.0,1.0,15732.0,0.0,139.0,5.0,5.0,0.0,2.0,5.0,4.0,9.0,8.0,13.0,21.0,5.0,15.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,271700.0,15574.0,Cash,0
21, 60 months,379.39,Bookkeeper/Accounting,credit_card,Credit card refinancing,33.18,0.0,Individual,0.0,31329.0,1.0,2.0,1.0,2.0,6.0,12221.0,1.0,4.0,14982.0,65.0,0.0,0.0,1.0,2848.0,0.0,294.0,11.0,6.0,2.0,6.0,9.0,6.0,8.0,6.0,9.0,11.0,9.0,11.0,0.0,0.0,0.0,2.0,78.9,0.0,2.0,298100.0,13400.0,Cash,0
22, 36 months,949.38,Director of Product Development ,debt_consolidation,Debt consolidation,7.49,0.0,Individual,0.0,22780.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,1.0,6881.0,63.0,0.0,0.0,1.0,3797.0,0.0,187.0,22.0,22.0,0.0,4.0,4.0,5.0,10.0,3.0,6.0,19.0,5.0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,36100.0,0.0,Cash,0
23, 36 months,169.54,General Manager,credit_card,Credit card refinancing,12.7,0.0,Individual,0.0,35653.0,0.0,1.0,0.0,1.0,19.0,26212.0,0.0,0.0,4360.0,87.0,2.0,0.0,0.0,11884.0,0.0,36.0,32.0,19.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,41091.0,31791.0,Cash,0
24, 36 months,186.61,Analyst,debt_consolidation,Debt consolidation,13.28,0.0,Individual,0.0,116195.0,0.0,2.0,0.0,0.0,28.0,12525.0,0.0,1.0,2260.0,45.0,0.0,1.0,1.0,12911.0,0.0,259.0,18.0,18.0,0.0,2.0,4.0,2.0,6.0,4.0,5.0,9.0,4.0,9.0,0.0,0.0,0.0,0.0,93.7,0.0,0.0,156354.0,36083.0,Cash,1
25, 36 months,146.16,mechanic,debt_consolidation,Debt consolidation,15.22,0.0,Individual,0.0,4888.0,0.0,1.0,0.0,0.0,47.0,3830.0,0.0,0.0,367.0,22.0,0.0,0.0,0.0,815.0,0.0,53.0,26.0,26.0,0.0,1.0,2.0,3.0,3.0,1.0,5.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,21822.0,17522.0,Cash,0
26, 36 months,602.3,driver,debt_consolidation,Debt consolidation,18.83,0.0,Individual,0.0,15444.0,0.0,2.0,0.0,1.0,15.0,13175.0,0.0,1.0,1448.0,15.0,2.0,0.0,1.0,1287.0,0.0,295.0,19.0,15.0,0.0,3.0,3.0,10.0,11.0,4.0,10.0,13.0,3.0,12.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,106217.0,30017.0,Cash,1
27, 60 months,406.04,Professional Sales Associate,debt_consolidation,Debt consolidation,23.35,0.0,Individual,0.0,182936.0,2.0,2.0,2.0,2.0,3.0,20689.0,1.0,3.0,8897.0,90.0,0.0,3.0,1.0,16631.0,0.0,164.0,3.0,3.0,0.0,3.0,6.0,3.0,13.0,10.0,8.0,22.0,6.0,11.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,228050.0,22000.0,Cash,0
28, 36 months,530.03,Network Security Specialist III,credit_card,Credit card refinancing,26.59,0.0,Individual,0.0,229082.0,0.0,10.0,1.0,4.0,9.0,68644.0,0.0,0.0,9347.0,63.0,2.0,6.0,1.0,12057.0,0.0,175.0,37.0,9.0,0.0,2.0,2.0,4.0,7.0,24.0,8.0,13.0,2.0,20.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,285027.0,92701.0,Cash,1
29, 36 months,451.73,DEPUTY SHERIFF,home_improvement,Home improvement,15.34,0.0,Individual,0.0,17003.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,5966.0,50.0,0.0,3.0,3.0,2429.0,0.0,162.0,13.0,13.0,0.0,2.0,6.0,2.0,4.0,5.0,7.0,14.0,6.0,7.0,0.0,0.0,0.0,0.0,90.5,0.0,0.0,33800.0,0.0,Cash,1
30, 36 months,538.18,"Owner, Fee Appraiser ",small_business,Business,18.96,0.0,Individual,1830.0,39781.0,2.0,2.0,0.0,0.0,27.0,34624.0,2.0,2.0,739.0,64.0,0.0,5.0,0.0,5683.0,0.0,360.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,12.0,5.0,7.0,5.0,7.0,0.0,0.0,0.0,2.0,80.0,0.0,1.0,80999.0,71499.0,Cash,0
31, 60 months,701.01,hvac technician,debt_consolidation,,20.84,0.0,Individual,0.0,320098.0,2.0,1.0,0.0,1.0,14.0,13676.0,2.0,10.0,3138.0,61.0,1.0,1.0,3.0,17783.0,0.0,104.0,2.0,2.0,0.0,10.0,12.0,11.0,12.0,2.0,15.0,16.0,12.0,18.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,344960.0,18300.0,Cash,0
32, 36 months,391.62,Public Affairs Specialist ,debt_consolidation,Debt consolidation,24.04,0.0,Individual,5930.0,374585.0,0.0,4.0,1.0,3.0,9.0,82819.0,1.0,2.0,12597.0,65.0,1.0,1.0,0.0,26756.0,0.0,166.0,9.0,9.0,4.0,3.0,5.0,3.0,6.0,17.0,8.0,14.0,5.0,15.0,0.0,0.0,0.0,2.0,87.2,0.0,0.0,478544.0,120544.0,Cash,1
33, 60 months,581.58,Executive Assistant,debt_consolidation,Debt consolidation,34.53,0.0,Individual,171.0,265233.0,3.0,3.0,2.0,4.0,5.0,67459.0,4.0,8.0,5447.0,28.0,2.0,6.0,3.0,8556.0,0.0,174.0,1.0,1.0,0.0,6.0,16.0,12.0,21.0,15.0,29.0,51.0,16.0,33.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,389002.0,81802.0,Cash,0
34, 60 months,381.23,CEO,debt_consolidation,Debt consolidation,34.29,0.0,Individual,0.0,314793.0,0.0,4.0,0.0,4.0,13.0,67959.0,1.0,1.0,4746.0,53.0,2.0,8.0,1.0,28618.0,0.0,222.0,11.0,11.0,12.0,3.0,3.0,4.0,22.0,12.0,5.0,28.0,3.0,11.0,0.0,0.0,0.0,1.0,64.4,0.0,0.0,412771.0,115941.0,Cash,0
35, 36 months,217.72,Carrier,credit_card,Credit card refinancing,13.06,0.0,Individual,0.0,55222.0,0.0,1.0,0.0,0.0,45.0,5337.0,1.0,2.0,6987.0,25.0,0.0,2.0,2.0,6136.0,0.0,223.0,10.0,10.0,0.0,2.0,4.0,4.0,5.0,14.0,8.0,17.0,4.0,10.0,0.0,0.0,0.0,1.0,97.1,0.0,0.0,115502.0,20402.0,Cash,1
36, 60 months,488.53,Resident physician,credit_card,Credit card refinancing,14.47,0.0,Individual,0.0,372407.0,1.0,1.0,1.0,1.0,5.0,352033.0,0.0,0.0,9358.0,87.0,1.0,0.0,2.0,74481.0,0.0,131.0,85.0,5.0,0.0,3.0,3.0,4.0,4.0,11.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,370357.0,347057.0,Cash,0
37, 60 months,652.06,Manager,other,Other,6.79,0.0,Individual,0.0,267500.0,1.0,1.0,0.0,1.0,21.0,10003.0,1.0,3.0,12056.0,55.0,0.0,0.0,0.0,19107.0,0.0,173.0,3.0,3.0,0.0,6.0,10.0,7.0,9.0,1.0,12.0,17.0,10.0,14.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,325100.0,13200.0,Cash,0
38, 36 months,237.36,Legal Administrative Assistant,home_improvement,Home improvement,8.47,0.0,Individual,0.0,147791.0,2.0,1.0,0.0,1.0,23.0,14807.0,3.0,3.0,2445.0,53.0,1.0,0.0,2.0,29558.0,0.0,7.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,189950.0,22450.0,Cash,1
39, 36 months,691.84,GM,credit_card,Credit card refinancing,12.45,0.0,Individual,0.0,37491.0,0.0,1.0,1.0,1.0,10.0,16016.0,0.0,1.0,14981.0,82.0,1.0,0.0,1.0,5356.0,0.0,102.0,16.0,10.0,0.0,3.0,4.0,3.0,5.0,1.0,6.0,10.0,4.0,8.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,45509.0,20000.0,Cash,0
40, 36 months,700.88,Clinical Intake,house,Home buying,22.21,0.0,Individual,264.0,63456.0,2.0,3.0,0.0,0.0,47.0,44379.0,6.0,9.0,2957.0,61.0,0.0,0.0,3.0,2759.0,0.0,137.0,2.0,2.0,5.0,8.0,17.0,9.0,9.0,39.0,21.0,23.0,17.0,24.0,0.0,0.0,0.0,6.0,92.1,0.0,0.0,104696.0,52596.0,Cash,0
41, 60 months,253.78,Educator ,credit_card,Credit card refinancing,35.7,0.0,Individual,0.0,288087.0,2.0,2.0,2.0,2.0,6.0,32895.0,1.0,1.0,6742.0,85.0,0.0,3.0,3.0,20578.0,0.0,176.0,7.0,6.0,0.0,3.0,9.0,3.0,4.0,6.0,11.0,16.0,9.0,14.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,302401.0,34953.0,Cash,0
42, 60 months,372.21,Registered Nurse,debt_consolidation,Debt consolidation,17.74,0.0,Individual,0.0,667373.0,0.0,7.0,0.0,6.0,17.0,109893.0,0.0,1.0,1959.0,66.0,5.0,0.0,3.0,47670.0,0.0,98.0,23.0,17.0,1.0,2.0,2.0,4.0,5.0,10.0,7.0,8.0,2.0,15.0,0.0,0.0,0.0,0.0,73.7,0.0,2.0,704224.0,124120.0,Cash,0
43, 36 months,643.47,Manager,debt_consolidation,Debt consolidation,23.45,0.0,Individual,0.0,40090.0,2.0,2.0,2.0,3.0,8.0,32532.0,3.0,5.0,1600.0,34.0,0.0,2.0,0.0,2864.0,0.0,283.0,4.0,4.0,2.0,5.0,10.0,7.0,8.0,11.0,12.0,13.0,10.0,14.0,0.0,0.0,0.0,5.0,92.3,0.0,0.0,117477.0,38577.0,Cash,1
44, 36 months,260.5,Associate Consultant,credit_card,Credit card refinancing,7.28,0.0,Individual,0.0,165450.0,0.0,1.0,1.0,1.0,11.0,24041.0,0.0,3.0,3081.0,58.0,1.0,0.0,5.0,13788.0,0.0,173.0,16.0,11.0,0.0,3.0,3.0,9.0,10.0,5.0,13.0,18.0,3.0,15.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,191618.0,27078.0,Cash,1
45, 60 months,482.56,Teacher,debt_consolidation,Debt consolidation,12.14,0.0,Individual,0.0,51489.0,0.0,7.0,0.0,2.0,14.0,49908.0,0.0,1.0,1097.0,89.0,1.0,3.0,1.0,5721.0,0.0,194.0,17.0,14.0,0.0,2.0,2.0,2.0,14.0,25.0,2.0,17.0,2.0,9.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,57564.0,51664.0,Cash,0
46, 36 months,252.32,Bank Officer Senior Customer Care Spec.,debt_consolidation,,17.35,0.0,Individual,0.0,275831.0,1.0,18.0,3.0,9.0,5.0,269893.0,0.0,3.0,3234.0,108.0,4.0,0.0,9.0,11493.0,0.0,126.0,15.0,5.0,0.0,2.0,3.0,4.0,5.0,35.0,6.0,8.0,3.0,24.0,0.0,0.0,0.0,3.0,97.7,0.0,1.0,255047.0,246447.0,Cash,0
47, 36 months,283.13,Sales Representative/ Agent,credit_card,Credit card refinancing,5.18,0.0,Individual,0.0,105650.0,1.0,1.0,0.0,0.0,35.0,921.0,2.0,5.0,3818.0,56.0,0.0,2.0,3.0,11739.0,0.0,169.0,6.0,6.0,0.0,3.0,5.0,3.0,11.0,6.0,6.0,15.0,5.0,9.0,0.0,0.0,0.0,2.0,87.5,0.0,0.0,116292.0,6000.0,Cash,1
48, 60 months,392.23,Senior Service Specialist,debt_consolidation,Debt consolidation,21.44,0.0,Individual,0.0,62813.0,0.0,10.0,0.0,0.0,76.0,51435.0,0.0,0.0,10159.0,93.0,0.0,0.0,0.0,5234.0,0.0,45.0,40.0,40.0,0.0,2.0,2.0,2.0,2.0,22.0,2.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,67732.0,56532.0,Cash,0
49, 36 months,89.47,Teacher,other,Other,17.6,0.0,Individual,0.0,197169.0,3.0,3.0,2.0,4.0,2.0,196437.0,1.0,2.0,48.0,87.0,6.0,3.0,5.0,28167.0,0.0,179.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,14.0,4.0,8.0,4.0,7.0,0.0,0.0,1.0,3.0,68.4,0.0,0.0,196429.0,193929.0,Cash,0
50, 36 months,350.67,PRINTER,credit_card,Credit card refinancing,21.34,0.0,Individual,0.0,205780.0,0.0,3.0,0.0,3.0,17.0,25792.0,0.0,2.0,4361.0,67.0,2.0,1.0,1.0,22864.0,0.0,135.0,13.0,13.0,0.0,4.0,4.0,4.0,5.0,8.0,5.0,8.0,4.0,9.0,0.0,0.0,0.0,0.0,94.4,0.0,0.0,231864.0,41107.0,Cash,1
51, 60 months,596.21,Teacher,debt_consolidation,Debt consolidation,24.71,0.0,Individual,342.0,525195.0,0.0,1.0,0.0,0.0,45.0,4453.0,0.0,0.0,7494.0,80.0,0.0,0.0,0.0,47745.0,0.0,267.0,70.0,45.0,2.0,1.0,7.0,2.0,6.0,9.0,9.0,20.0,8.0,12.0,0.0,0.0,1.0,0.0,90.9,0.0,0.0,554242.0,10100.0,Cash,0
52, 60 months,386.74,Teacher,credit_card,Credit card refinancing,29.13,0.0,Individual,0.0,270017.0,2.0,9.0,1.0,3.0,6.0,68316.0,2.0,2.0,5268.0,88.0,0.0,2.0,1.0,14211.0,0.0,121.0,4.0,4.0,1.0,3.0,6.0,4.0,5.0,13.0,9.0,14.0,7.0,19.0,0.0,0.0,0.0,3.0,96.4,0.0,0.0,305962.0,81126.0,Cash,0
53, 60 months,640.5,Office Manager,debt_consolidation,Debt consolidation,18.01,0.0,Individual,0.0,41270.0,2.0,1.0,1.0,1.0,8.0,22849.0,3.0,7.0,7303.0,21.0,1.0,0.0,2.0,2428.0,0.0,322.0,5.0,5.0,0.0,8.0,10.0,13.0,20.0,3.0,20.0,31.0,10.0,21.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,200980.0,25180.0,Cash,0
54, 36 months,336.37,Contract Specialist,house,Home buying,9.44,0.0,Individual,0.0,304514.0,2.0,4.0,1.0,4.0,6.0,66773.0,1.0,1.0,2180.0,71.0,0.0,0.0,3.0,23424.0,0.0,111.0,9.0,6.0,0.0,3.0,5.0,3.0,6.0,19.0,7.0,11.0,5.0,13.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,321380.0,68648.0,Cash,0
55, 60 months,507.58,,home_improvement,Home improvement,10.24,0.0,Individual,0.0,127412.0,0.0,1.0,0.0,0.0,73.0,1456.0,0.0,1.0,3309.0,7.0,1.0,0.0,2.0,14157.0,0.0,398.0,22.0,22.0,1.0,2.0,3.0,4.0,6.0,6.0,7.0,13.0,3.0,9.0,0.0,0.0,0.0,0.0,95.2,0.0,0.0,202351.0,33631.0,Cash,1
56, 60 months,718.51,Engineer,debt_consolidation,Debt consolidation,31.88,0.0,Individual,0.0,193745.0,1.0,2.0,0.0,2.0,22.0,13889.0,2.0,6.0,7213.0,50.0,1.0,0.0,0.0,7176.0,0.0,158.0,4.0,4.0,0.0,14.0,20.0,14.0,18.0,9.0,24.0,34.0,20.0,27.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,267312.0,31758.0,Cash,0
57, 60 months,778.38,Foreign Service Officer,home_improvement,Home improvement,6.46,0.0,Individual,321.0,146867.0,1.0,11.0,0.0,0.0,28.0,35367.0,0.0,1.0,5020.0,40.0,1.0,4.0,0.0,8639.0,0.0,310.0,19.0,3.0,1.0,3.0,4.0,3.0,6.0,26.0,5.0,11.0,4.0,17.0,0.0,0.0,0.0,1.0,91.3,0.0,0.0,220950.0,71700.0,Cash,0
58, 36 months,229.53,Site lead,debt_consolidation,Debt consolidation,19.25,0.0,Individual,0.0,218695.0,0.0,2.0,0.0,2.0,14.0,18276.0,2.0,4.0,3281.0,63.0,1.0,3.0,2.0,19881.0,0.0,137.0,11.0,9.0,0.0,6.0,6.0,8.0,13.0,7.0,9.0,14.0,6.0,13.0,0.0,0.0,0.0,3.0,96.0,0.0,0.0,236795.0,24744.0,Cash,1
59, 36 months,312.95,Teacher,credit_card,Credit card refinancing,10.81,0.0,Individual,1036.0,27354.0,1.0,1.0,0.0,0.0,76.0,20690.0,1.0,2.0,5037.0,78.0,0.0,0.0,1.0,6839.0,0.0,206.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,35247.0,20447.0,Cash,1
60, 60 months,367.67,Merchandise Manager,credit_card,Credit card refinancing,9.6,0.0,Individual,0.0,83690.0,0.0,15.0,0.0,0.0,52.0,71856.0,0.0,1.0,1846.0,96.0,0.0,0.0,0.0,2886.0,0.0,120.0,16.0,16.0,0.0,7.0,8.0,13.0,20.0,25.0,14.0,23.0,8.0,29.0,0.0,0.0,0.0,0.0,97.9,0.0,0.0,87509.0,61109.0,Cash,0
